id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_populasi,satuan,tahun
162,32,JAWA BARAT,3279,KOTA BANJAR,21,EKOR,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,818,EKOR,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,210,EKOR,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,684,EKOR,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1442,EKOR,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,0,EKOR,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,260,EKOR,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,94,EKOR,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,313,EKOR,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,134,EKOR,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,372,EKOR,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,428,EKOR,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31,EKOR,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,304,EKOR,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,124,EKOR,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,54,EKOR,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,126,EKOR,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3304,EKOR,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,157,EKOR,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,102,EKOR,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,26,EKOR,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,155,EKOR,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0,EKOR,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,42,EKOR,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,234,EKOR,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,95,EKOR,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,446,EKOR,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,22,EKOR,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,532,EKOR,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,200,EKOR,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,695,EKOR,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1321,EKOR,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,0,EKOR,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,255,EKOR,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,85,EKOR,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,356,EKOR,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,140,EKOR,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,370,EKOR,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,415,EKOR,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,31,EKOR,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,209,EKOR,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,125,EKOR,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,54,EKOR,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,127,EKOR,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3151,EKOR,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,138,EKOR,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,103,EKOR,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,40,EKOR,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,158,EKOR,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,1,EKOR,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,43,EKOR,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,248,EKOR,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,60,EKOR,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,446,EKOR,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,25,EKOR,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,481,EKOR,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,202,EKOR,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,705,EKOR,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1270,EKOR,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,0,EKOR,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,259,EKOR,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77,EKOR,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,365,EKOR,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,126,EKOR,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,376,EKOR,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,589,EKOR,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,32,EKOR,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,171,EKOR,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,117,EKOR,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,54,EKOR,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,131,EKOR,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3126,EKOR,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,139,EKOR,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,104,EKOR,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,42,EKOR,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,3,EKOR,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,1,EKOR,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,37,EKOR,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,250,EKOR,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,60,EKOR,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,446,EKOR,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,20,EKOR,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,455,EKOR,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,158,EKOR,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,715,EKOR,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1144,EKOR,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,0,EKOR,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,212,EKOR,2022
